id,occurrenceID,catalogNumber,basisOfRecord,collectionCode,scientificName,taxonRank,kingdom,family,higherClassification,vernacularName,previousIdentifications,individualCount,lifeStage,sex,longitudeDecimal,latitudeDecimal,geodeticDatum,dataGeneralizations,coordinateUncertaintyInMeters,continent,country,countryCode,stateProvince,locality,habitat,recordedBy,eventID,eventDate,eventTime,samplingProtocol,behavior,associatedTaxa,references,rightsHolder,license,modified
160700330@OBS,https://observation.org/observation/160700330,OBS.160700330,HumanObservation,Observations,Pelobates fuscus,species,Animalia,Pelobatidae,Animalia|Pelobatidae,Common Eurasian Spadefoot,,1,unknown,undetermined,22.4,53.2,WGS84,,5000,Europe,Poland,PL,,Poland - Podlaskie,,,,2018-07-14,42300,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.160700330,Stichting Natuurinformatie,CC BY-NC 4.0,2018-07-30
87493576@OBS,https://observation.org/observation/87493576,OBS.87493576,HumanObservation,Observations,Oriolus oriolus,species,Animalia,ORIOLES_AND_FIG_BIRDS_ORIOLIDAE,Animalia|ORIOLES_AND_FIG_BIRDS_ORIOLIDAE,Eurasian Golden Oriole,,1,unknown,undetermined,22.5807988644,53.3736995248,WGS84,,100,Europe,Poland,PL,,Poland - Biebrza NP,,,,2014-07-11,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.87493576,Stichting Natuurinformatie,CC BY-NC 4.0,2017-08-12
102437978@OBS,https://observation.org/observation/102437978,OBS.102437978,HumanObservation,Observations,Luscinia luscinia,species,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Animalia|OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Thrush Nightingale,,1,unknown,undetermined,22.729172,53.492375,WGS84,,25,Europe,Poland,PL,,Poland - Podlaskie,,,,2015-05-19,75120,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.102437978,Stichting Natuurinformatie,CC BY-NC 4.0,2015-05-20
119245950@OBS,https://observation.org/observation/119245950,OBS.119245950,HumanObservation,Observations,Gallinago gallinago,species,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Animalia|SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Common Snipe,,1,unknown,undetermined,23.8666747603565,52.9242788348347,WGS84,,25,Europe,Poland,PL,,Poland - Zbionrnik Siemianowka,,,,2016-05-27,65040,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.119245950,Stichting Natuurinformatie,CC BY-NC 4.0,2018-05-12
141763130@OBS,https://observation.org/observation/141763130,OBS.141763130,HumanObservation,Observations,Oriolus oriolus,species,Animalia,ORIOLES_AND_FIG_BIRDS_ORIOLIDAE,Animalia|ORIOLES_AND_FIG_BIRDS_ORIOLIDAE,Eurasian Golden Oriole,,2,unknown,undetermined,22.7069,53.5371,WGS84,,5,Europe,Poland,PL,,Poland - Biebrza NP,,,,2017-07-15,45000,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.141763130,Stichting Natuurinformatie,CC BY-NC 4.0,2017-10-03
122028280@OBS,https://observation.org/observation/122028280,OBS.122028280,HumanObservation,Observations,Chlidonias hybrida,species,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Animalia|GULLS_TERNS_AND_SKIMMERS_LARIDAE,Whiskered Tern,,1,unknown,undetermined,23.78495451,52.9641866,WGS84,,25,Europe,Poland,PL,,Poland - Bachury,,,,2016-07-22,39480,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.122028280,Stichting Natuurinformatie,CC BY-NC 4.0,2016-08-01
177469515@OBS,https://observation.org/observation/177469515,OBS.177469515,HumanObservation,Observations,Thymelicus lineola,species,Animalia,SKIPPERS_HESPERIIDAE,Animalia|SKIPPERS_HESPERIIDAE,Essex Skipper,,1,imago,undetermined,22.8411979675293,53.5886001586914,WGS84,,25,Europe,Poland,PL,,Poland - Biebrza NP - Red Marsh,,,,2019-07-23,45780,seen,,,https://data.biodiversitydata.nl/obsint/observation/OBS.177469515,Stichting Natuurinformatie,CC BY-NC 4.0,2019-08-05
121186613@OBS,https://observation.org/observation/121186613,OBS.121186613,HumanObservation,Observations,Lycaena alciphron,species,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Animalia|GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Purple-shot Copper,,1,imago,male,22.3,49.15,WGS84,WGS84 coordinates generalized with formula: `coord = floor(coord * 100) / 100`,1000,Europe,Poland,PL,,Poland - Podkarpackie,,,,2016-07-10,36840,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.121186613,Stichting Natuurinformatie,CC BY-NC 4.0,2016-07-30
102401677@OBS,https://observation.org/observation/102401677,OBS.102401677,HumanObservation,Observations,Lophophanes cristatus,species,Animalia,TITS_PARIDAE,Animalia|TITS_PARIDAE,European Crested Tit,,1,unknown,undetermined,23.81022429,52.71040758,WGS84,,25,Europe,Poland,PL,,Poland - Białowieża,,,,2015-05-14,60120,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.102401677,Stichting Natuurinformatie,CC BY-NC 4.0,2015-05-31
126798163@OBS,https://observation.org/observation/126798163,OBS.126798163,HumanObservation,Observations,Saxicola rubetra,species,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Animalia|OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Whinchat,,1,unknown,undetermined,23.8348033279,52.6997028226,WGS84,,10,Europe,Poland,PL,,Poland - Białowieża,,,,2015-05-12,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.126798163,Stichting Natuurinformatie,CC BY-NC 4.0,2016-11-23
122086492@OBS,https://observation.org/observation/122086492,OBS.122086492,HumanObservation,Observations,Circus aeruginosus,species,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Animalia|HAWKS_AND_EAGLES_ACCIPITRIDAE,Western Marsh Harrier,,1,unknown,undetermined,23.82143612,52.7092446,WGS84,,25,Europe,Poland,PL,,Poland - Białowieża,,,,2016-07-24,39900,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.122086492,Stichting Natuurinformatie,CC BY-NC 4.0,2016-08-03
158934213@OBS,https://observation.org/observation/158934213,OBS.158934213,HumanObservation,Observations,Sterna hirundo,species,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Animalia|GULLS_TERNS_AND_SKIMMERS_LARIDAE,Common Tern,,3,unknown,undetermined,14.66034131,52.57290753,WGS84,,25,Europe,Poland,PL,,Poland - Warta Mouth NP,,,,2018-06-24,53880,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.158934213,Stichting Natuurinformatie,CC BY-NC 4.0,2018-06-24
188613207@OBS,https://observation.org/observation/188613207,OBS.188613207,HumanObservation,Observations,Phoenicurus phoenicurus,species,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Animalia|OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Common Redstart,,1,unknown,undetermined,14.82224509,52.51716754,WGS84,,100,Europe,Poland,PL,,Poland - Lubuskie,,,,2016-05-04,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.188613207,Stichting Natuurinformatie,CC BY-NC 4.0,2020-04-13
78695731@OBS,https://observation.org/observation/78695731,OBS.78695731,HumanObservation,Observations,Grus grus,species,Animalia,CRANES_GRUIDAE,Animalia|CRANES_GRUIDAE,Common Crane,,3,unknown,undetermined,22.465117,53.421541,WGS84,,10,Europe,Poland,PL,,Poland - Podlaskie,,,,2013-08-10,43140,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.78695731,Stichting Natuurinformatie,CC BY-NC 4.0,2014-01-18
